title,release_date,norm_text,poster_path
13/13/13,2013-09-30,13th month 13th year new millennium insanity blood splatter apocalypse demon death number 13 Horror,/3WcsPCnLYAVzNSsmhLiw3Wj0IKi.jpg
1408,2007-06-22,man specialize debunk paranormal occurrence check fabled room 1408 dolphin hotel soon settle confront genuine terror new york city hotel fire loss love hotel room husband wife relationship window door haunted house research paint telephone writer ghost hunter Horror Mystery,/yE9MCW7ZNxSw5SC1TMqm51pMBIV.jpg
1492: Conquest of Paradise,1992-10-09,1492 conquest paradise depict christopher columbus discovery new world effect indigenous people indigenous discovery america new world native american christopher columbus 15th century conquistador age discovery Action Adventure Drama,/xVEynmeq8ElU4ambRaJbXPn0CPC.jpg
15 Minutes,2001-03-01,eastern european criminal oleg emil come new york city pick share heist score oleg steal video camera start film activity legal illegal learn american medium circus remorseless killer look like victim rich target media savvy nypd homicide detective eddie flemming media naive fdny fire marshal jordy warsaw cop investigate murder torching criminal partner film sell local tabloid tv story new york city prison detective airport prisoner paranoia police revenge fear criminal police detective death nypd news report Action Crime Thriller,/bZ7Xx15zZdDzbKFKl4ULEJ11hWu.jpg
17 Again,2009-03-25,brink midlife crisis 30 mike o'donnell wish exactly get wake morning find 17 year old adult mind stick inside body teenager mike actually chance reverse decision wish maybe bad fake identity high school bully high school sport adult child age change Comedy,/wqE9b0bdZsubI82zdX1ykLfPajh.jpg
1776,1972-11-09,film focus representative thirteen original colony participate second continental congress 1776 depict month deliberation oftentime acrimonious debate lead signing important document history united states declaration independence congress musical 18th century found father Drama History,/o50REDExdajGxTWczsmC3qcawGr.jpg
18 Again!,1988-04-08,18 1988 comedy film star george burns charlie schlatter plot involve grandson switch soul grandfather mean accident series unrelated film include like father like son vice versa produce late 1980 involve similar plotline grandfather wish role reversal body swap wish come true Fantasy Comedy,/sbQ6B314PkVAHoye9jAdgs2sYWE.jpg
1917,2019-12-25,height world war young british soldier cross enemy territory deliver message stop deadly attack hundred soldier world war british army race time soldier trenches 1910s trench warfare collection man land War Drama Action,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg
1941,1979-12-14,day attack pearl harbor panic grip california military officer lead mob chase japanese sub submarine california world war ii war ship pearl harbor panic satire los angeles california 1940s anarchic comedy Action Comedy War,/52Bn5yC6IHQuVxPUza3Q6RZCZTu.jpg
1984,1956-03-06,totalitarian future society man daily work rewrite history try rebel fall love base novel book future dystopia totalitarianism Science Fiction Drama,/lMkNVkTTdAy9HfaLiy33kS92Dvb.jpg
